;Tweets;Label;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;Pemerintah RI berencana memberikan subsidi untuk pembelian mobil listrik. Namun, tidak semua mobil listrik akan menâ¦ https://t.co/FZQo2wcAif;1;pemerintah ri berencana memberikan subsidi untuk pembelian mobil listrik namun tidak semua mobil listrik akan men cofzqo2wcaif;['pemerintah', 'ri', 'berencana', 'memberikan', 'subsidi', 'untuk', 'pembelian', 'mobil', 'listrik', 'namun', 'tidak', 'semua', 'mobil', 'listrik', 'akan', 'men', 'cofzqo2wcaif'];['pemerintah', 'di', 'berencana', 'memberikan', 'subsidi', 'untuk', 'pembelian', 'mobil', 'listrik', 'namun', 'tidak', 'semua', 'mobil', 'listrik', 'akan', 'men', 'cofzqo2wcaif'];['pemerintah', 'berencana', 'subsidi', 'pembelian', 'mobil', 'listrik', 'mobil', 'listrik', 'men', 'cofzqo2wcaif'];pemerintah berencana subsidi pembelian mobil listrik mobil listrik men cofzqo2wcaif;perintah rencana subsidi beli mobil listrik mobil listrik men cofzqo2wcaif
1;"Kata Presiden Jokowi, subsidi mobil listrik Rp80 juta bisa tingkatkan penerimaan negara bukan pajak

https://t.co/XhyKnTXS6X";1;kata presiden jokowi subsidi mobil listrik rp80 juta bisa tingkatkan penerimaan negara bukan pajak coxhykntxs6x;['kata', 'presiden', 'jokowi', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'bisa', 'tingkatkan', 'penerimaan', 'negara', 'bukan', 'pajak', 'coxhykntxs6x'];['kata', 'presiden', 'jokowi', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'bisa', 'tingkatkan', 'penerimaan', 'negara', 'bukan', 'pajak', 'coxhykntxs6x'];['presiden', 'jokowi', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'tingkatkan', 'penerimaan', 'negara', 'pajak', 'coxhykntxs6x'];presiden jokowi subsidi mobil listrik rp80 juta tingkatkan penerimaan negara pajak coxhykntxs6x;presiden jokowi subsidi mobil listrik rp80 juta tingkat terima negara pajak coxhykntxs6x
2;Pengamat Kritik Subsidi Kendaraan Listrik Sampai Rp80 Juta #uzoneID #mobil #motor https://t.co/bnvbkBvXUM;0;pengamat kritik subsidi kendaraan listrik sampai rp80 juta hashtag uzone id hashtag hashtag mobil hashtag hashtag motor hashtag cobnvbkbvxum;['pengamat', 'kritik', 'subsidi', 'kendaraan', 'listrik', 'sampai', 'rp80', 'juta', 'hashtag', 'uzone', 'id', 'hashtag', 'hashtag', 'mobil', 'hashtag', 'hashtag', 'motor', 'hashtag', 'cobnvbkbvxum'];['pengamat', 'kritik', 'subsidi', 'kendaraan', 'listrik', 'sampai', 'rp80', 'juta', 'hashtag', 'uzone', 'id', 'hashtag', 'hashtag', 'mobil', 'hashtag', 'hashtag', 'motor', 'hashtag', 'cobnvbkbvxum'];['pengamat', 'kritik', 'subsidi', 'kendaraan', 'listrik', 'rp80', 'juta', 'hashtag', 'uzone', 'id', 'hashtag', 'hashtag', 'mobil', 'hashtag', 'hashtag', 'motor', 'hashtag', 'cobnvbkbvxum'];pengamat kritik subsidi kendaraan listrik rp80 juta hashtag uzone id hashtag hashtag mobil hashtag hashtag motor hashtag cobnvbkbvxum;amat kritik subsidi kendara listrik rp80 juta hashtag uzone id hashtag hashtag mobil hashtag hashtag motor hashtag cobnvbkbvxum
3;Alasan Jokowi Beri Subsidi Rp80 Juta untuk Pembelian Mobil Listrik Baru https://t.co/jAY7KvjX5J;1;alasan jokowi beri subsidi rp80 juta untuk pembelian mobil listrik baru cojay7kvjx5j;['alasan', 'jokowi', 'beri', 'subsidi', 'rp80', 'juta', 'untuk', 'pembelian', 'mobil', 'listrik', 'baru', 'cojay7kvjx5j'];['alasan', 'jokowi', 'beri', 'subsidi', 'rp80', 'juta', 'untuk', 'pembelian', 'mobil', 'listrik', 'baru', 'cojay7kvjx5j'];['alasan', 'jokowi', 'subsidi', 'rp80', 'juta', 'pembelian', 'mobil', 'listrik', 'cojay7kvjx5j'];alasan jokowi subsidi rp80 juta pembelian mobil listrik cojay7kvjx5j;alas jokowi subsidi rp80 juta beli mobil listrik cojay7kvjx5j
4;Joko Widodo Jadinya Bersuara Soal Subsidi Beli Mobil Listrik Rp80Â Juta https://t.co/5MIp4z7xL6;1;joko widodo jadinya bersuara soal subsidi beli mobil listrik rp80 juta co5mip4z7xl6;['joko', 'widodo', 'jadinya', 'bersuara', 'soal', 'subsidi', 'beli', 'mobil', 'listrik', 'rp80', 'juta', 'co5mip4z7xl6'];['joko', 'widodo', 'jadinya', 'bersuara', 'soal', 'subsidi', 'beli', 'mobil', 'listrik', 'rp80', 'juta', 'co5mip4z7xl6'];['joko', 'widodo', 'bersuara', 'subsidi', 'beli', 'mobil', 'listrik', 'rp80', 'juta', 'co5mip4z7xl6'];joko widodo bersuara subsidi beli mobil listrik rp80 juta co5mip4z7xl6;joko widodo suara subsidi beli mobil listrik rp80 juta co5mip4z7xl6
5;Pemerintah juga sudah melakukan kajian dan mengkalkulasi sebelum kebijakan tersebut dijalankan. https://t.co/1lzQLlyaDY;1;pemerintah juga sudah melakukan kajian dan mengkalkulasi sebelum kebijakan tersebut dijalankan co1lzqllyady;['pemerintah', 'juga', 'sudah', 'melakukan', 'kajian', 'dan', 'mengkalkulasi', 'sebelum', 'kebijakan', 'tersebut', 'dijalankan', 'co1lzqllyady'];['pemerintah', 'juga', 'sudah', 'melakukan', 'kajian', 'dan', 'mengkalkulasi', 'sebelum', 'kebijakan', 'tersebut', 'dijalankan', 'co1lzqllyady'];['pemerintah', 'kajian', 'mengkalkulasi', 'kebijakan', 'dijalankan', 'co1lzqllyady'];pemerintah kajian mengkalkulasi kebijakan dijalankan co1lzqllyady;perintah kaji kalkulasi bijak jalan co1lzqllyady
6;Pak @jokowi , sebaiknya subsidi pembelian kendaraan dengan model tukar tambah. Sehingga lebih tepat guna dan tentuâ¦ https://t.co/3e4HuIecM8;1;pak user sebaiknya subsidi pembelian kendaraan dengan model tukar tambah sehingga lebih tepat guna dan tentu co3e4huiecm8;['pak', 'user', 'sebaiknya', 'subsidi', 'pembelian', 'kendaraan', 'dengan', 'model', 'tukar', 'tambah', 'sehingga', 'lebih', 'tepat', 'guna', 'dan', 'tentu', 'co3e4huiecm8'];['pak', 'user', 'sebaiknya', 'subsidi', 'pembelian', 'kendaraan', 'dengan', 'model', 'tukar', 'tambah', 'sehingga', 'lebih', 'tepat', 'guna', 'dan', 'tentu', 'co3e4huiecm8'];['user', 'subsidi', 'pembelian', 'kendaraan', 'model', 'tukar', 'co3e4huiecm8'];user subsidi pembelian kendaraan model tukar co3e4huiecm8;user subsidi beli kendara model tukar co3e4huiecm8
7;RT @CNNIndonesia: Curiga Ada 'Bau' Elit dari Wacana Subsidi Mobil Listrik Rp80 Juta #Analisis https://t.co/SHwbCr2W0C;0;rt user curiga ada bau elit dari wacana subsidi mobil listrik rp80 juta hashtag analisis hashtag coshwbcr2w0c;['rt', 'user', 'curiga', 'ada', 'bau', 'elit', 'dari', 'wacana', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'hashtag', 'analisis', 'hashtag', 'coshwbcr2w0c'];['rt', 'user', 'curiga', 'ada', 'bau', 'elit', 'dari', 'wacana', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'hashtag', 'analisis', 'hashtag', 'coshwbcr2w0c'];['rt', 'user', 'curiga', 'bau', 'elit', 'wacana', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'hashtag', 'analisis', 'hashtag', 'coshwbcr2w0c'];rt user curiga bau elit wacana subsidi mobil listrik rp80 juta hashtag analisis hashtag coshwbcr2w0c;rt user curiga bau elit wacana subsidi mobil listrik rp80 juta hashtag analisis hashtag coshwbcr2w0c
8;Beli Mobil Listrik Dapat Subsidi Rp80 Juta, Toyota: Kita Akan Support https://t.co/Ll2SCM5Zj1;1;beli mobil listrik dapat subsidi rp80 juta toyota kita akan support coll2scm5zj1;['beli', 'mobil', 'listrik', 'dapat', 'subsidi', 'rp80', 'juta', 'toyota', 'kita', 'akan', 'support', 'coll2scm5zj1'];['beli', 'mobil', 'listrik', 'dapat', 'subsidi', 'rp80', 'juta', 'toyota', 'kita', 'akan', 'support', 'coll2scm5zj1'];['beli', 'mobil', 'listrik', 'subsidi', 'rp80', 'juta', 'toyota', 'support', 'coll2scm5zj1'];beli mobil listrik subsidi rp80 juta toyota support coll2scm5zj1;beli mobil listrik subsidi rp80 juta toyota support coll2scm5zj1
9;Menperin: Subsidi Mobil Listrik Rp80 Juta Belum Diputuskan - Yahoo Berita https://t.co/hF0bDAQJjA;1;menperin subsidi mobil listrik rp80 juta belum diputuskan yahoo berita cohf0bdaqjja;['menperin', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'belum', 'diputuskan', 'yahoo', 'berita', 'cohf0bdaqjja'];['menperin', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'belum', 'diputuskan', 'yahoo', 'berita', 'cohf0bdaqjja'];['menperin', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'diputuskan', 'yahoo', 'berita', 'cohf0bdaqjja'];menperin subsidi mobil listrik rp80 juta diputuskan yahoo berita cohf0bdaqjja;menperin subsidi mobil listrik rp80 juta putus yahoo berita cohf0bdaqjja
10;"RT @blank0429: SUBSIDI BBM ditarik jadi kendaraan kita mesti beli BBM dgn Harga lebih mahal

TAPI,

SUBSIDI pembelian mobil listrik per uniâ¦";0;rt user allcaps subsidi bbm allcaps ditarik jadi kendaraan kita mesti beli allcaps bbm allcaps dgn harga lebih mahal allcaps tapi allcaps allcaps subsidi allcaps pembelian mobil listrik per uni;['rt', 'user', 'allcaps', 'subsidi', 'bbm', 'allcaps', 'ditarik', 'jadi', 'kendaraan', 'kita', 'mesti', 'beli', 'allcaps', 'bbm', 'allcaps', 'dgn', 'harga', 'lebih', 'mahal', 'allcaps', 'tapi', 'allcaps', 'allcaps', 'subsidi', 'allcaps', 'pembelian', 'mobil', 'listrik', 'per', 'uni'];['rt', 'user', 'allcaps', 'subsidi', 'bbm', 'allcaps', 'ditarik', 'jadi', 'kendaraan', 'kita', 'mesti', 'beli', 'allcaps', 'bbm', 'allcaps', 'dengan', 'harga', 'lebih', 'mahal', 'allcaps', 'tapi', 'allcaps', 'allcaps', 'subsidi', 'allcaps', 'pembelian', 'mobil', 'listrik', 'per', 'uni'];['rt', 'user', 'allcaps', 'subsidi', 'bbm', 'allcaps', 'ditarik', 'kendaraan', 'mesti', 'beli', 'allcaps', 'bbm', 'allcaps', 'harga', 'mahal', 'allcaps', 'allcaps', 'allcaps', 'subsidi', 'allcaps', 'pembelian', 'mobil', 'listrik', 'uni'];rt user allcaps subsidi bbm allcaps ditarik kendaraan mesti beli allcaps bbm allcaps harga mahal allcaps allcaps allcaps subsidi allcaps pembelian mobil listrik uni;rt user allcaps subsidi bbm allcaps tarik kendara mesti beli allcaps bbm allcaps harga mahal allcaps allcaps allcaps subsidi allcaps beli mobil listrik uni
