;Tweets;Labels;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;@seongwuuu95 SIAPA YANG NGIDE MAKAN BUBUR DIADUK SIH?;0;user allcaps siapa yang ngide makan bubur diaduk sih allcaps;['user', 'allcaps', 'siapa', 'yang', 'ngide', 'makan', 'bubur', 'diaduk', 'sih', 'allcaps'];['user', 'allcaps', 'siapa', 'yang', 'ngide', 'makan', 'bubur', 'diaduk', 'sih', 'allcaps'];['user', 'allcaps', 'ngide', 'makan', 'bubur', 'diaduk', 'sih', 'allcaps'];user allcaps ngide makan bubur diaduk sih allcaps;user allcaps ngide makan bubur aduk sih allcaps
1;@tennierubyten Sambil makan bubur, diaduk;1;user sambil makan bubur diaduk;['user', 'sambil', 'makan', 'bubur', 'diaduk'];['user', 'sambil', 'makan', 'bubur', 'diaduk'];['user', 'makan', 'bubur', 'diaduk'];user makan bubur diaduk;user makan bubur aduk
2;Kenapa ini game dari bubur diaduk/bubur diseruput jadi doi fall out love/diselingkuhin taeeeekkk;0;kenapa ini game dari bubur diaduk bubur diseruput jadi doi fall out love diselingkuhin taek elongated;['kenapa', 'ini', 'game', 'dari', 'bubur', 'diaduk', 'bubur', 'diseruput', 'jadi', 'doi', 'fall', 'out', 'love', 'diselingkuhin', 'taek', 'elongated'];['kenapa', 'ini', 'game', 'dari', 'bubur', 'diaduk', 'bubur', 'diseruput', 'jadi', 'doi', 'fall', 'out', 'love', 'diselingkuhin', 'taek', 'elongated'];['game', 'bubur', 'diaduk', 'bubur', 'diseruput', 'doi', 'fall', 'out', 'love', 'diselingkuhin', 'taek', 'elongated'];game bubur diaduk bubur diseruput doi fall out love diselingkuhin taek elongated;game bubur aduk bubur seruput doi fall out love diselingkuhin taek elongated
3;RT @fantabeku: mile kalo kulit ayam mcd nya diminta, ngantri mie gacoan, makan bubur diaduk sm ngangkat galon,  kayaknya mau2 aja asal apoâ¦;1;rt user mile kalo kulit ayam mcd nya diminta ngantri mie gacoan makan bubur diaduk sm ngangkat galon kayaknya mau2 aja asal apo;['rt', 'user', 'mile', 'kalo', 'kulit', 'ayam', 'mcd', 'nya', 'diminta', 'ngantri', 'mie', 'gacoan', 'makan', 'bubur', 'diaduk', 'sm', 'ngangkat', 'galon', 'kayaknya', 'mau2', 'aja', 'asal', 'apo'];['rt', 'user', 'mile', 'kalau', 'kulit', 'ayam', 'mcd', 'nya', 'diminta', 'ngantri', 'mie', 'gacoan', 'makan', 'bubur', 'diaduk', 'sama', 'ngangkat', 'galon', 'kayaknya', 'mau2', 'saja', 'asal', 'apo'];['rt', 'user', 'mile', 'kulit', 'ayam', 'mcd', 'nya', 'ngantri', 'mie', 'gacoan', 'makan', 'bubur', 'diaduk', 'ngangkat', 'galon', 'kayaknya', 'mau2', 'apo'];rt user mile kulit ayam mcd nya ngantri mie gacoan makan bubur diaduk ngangkat galon kayaknya mau2 apo;rt user mile kulit ayam mcd nya ngantri mie gaco makan bubur aduk ngangkat galon kayak mau2 apo
4;@Ken_Atie @Iyaaaa_iniaku Tuh @Nisaa_C_Almeer  penikmat bubur ayam diaduk;1;user user tuh user penikmat bubur ayam diaduk;['user', 'user', 'tuh', 'user', 'penikmat', 'bubur', 'ayam', 'diaduk'];['user', 'user', 'itu', 'user', 'penikmat', 'bubur', 'ayam', 'diaduk'];['user', 'user', 'user', 'penikmat', 'bubur', 'ayam', 'diaduk'];user user user penikmat bubur ayam diaduk;user user user nikmat bubur ayam aduk
5;@cimolasin apkh km sekte bubur diaduk? klo iyh ak akan ngepens sm km;1;user apkh km sekte bubur diaduk klo iyh ak akan ngepens sm km;['user', 'apkh', 'km', 'sekte', 'bubur', 'diaduk', 'klo', 'iyh', 'ak', 'akan', 'ngepens', 'sm', 'km'];['user', 'apkh', 'kamu', 'sekte', 'bubur', 'diaduk', 'kalau', 'iyh', 'aku', 'akan', 'ngepens', 'sama', 'kamu'];['user', 'apkh', 'sekte', 'bubur', 'diaduk', 'iyh', 'ngepens'];user apkh sekte bubur diaduk iyh ngepens;user apkh sekte bubur aduk iyh ngepens
6;@bittrefIy @ssefnum LMAO gapapa pertumpahan bubur daripada ribut bubur diaduk apa engga;1;user user allcaps lmao allcaps gapapa pertumpahan bubur daripada ribut bubur diaduk apa engga;['user', 'user', 'allcaps', 'lmao', 'allcaps', 'gapapa', 'pertumpahan', 'bubur', 'daripada', 'ribut', 'bubur', 'diaduk', 'apa', 'engga'];['user', 'user', 'allcaps', 'lmao', 'allcaps', 'baik ', 'pertumpahan', 'bubur', 'daripada', 'ribut', 'bubur', 'diaduk', 'apa', 'tidak'];['user', 'user', 'allcaps', 'lmao', 'allcaps', 'baik ', 'pertumpahan', 'bubur', 'ribut', 'bubur', 'diaduk'];user user allcaps lmao allcaps baik  pertumpahan bubur ribut bubur diaduk;user user allcaps lmao allcaps baik tumpah bubur ribut bubur aduk
7;bubur diaduk itu ga enak. jadi lebih baik tidak diadukð https://t.co/K227kxg2QO;0;bubur diaduk itu ga enak jadi lebih baik tidak diaduk cok227kxg2qo;['bubur', 'diaduk', 'itu', 'ga', 'enak', 'jadi', 'lebih', 'baik', 'tidak', 'diaduk', 'cok227kxg2qo'];['bubur', 'diaduk', 'itu', 'tidak', 'enak', 'jadi', 'lebih', 'baik', 'tidak', 'diaduk', 'cok227kxg2qo'];['bubur', 'diaduk', 'enak', 'diaduk', 'cok227kxg2qo'];bubur diaduk enak diaduk cok227kxg2qo;bubur aduk enak aduk cok227kxg2qo
8;@itjeea MANA ENAK BUBUR GA DIADUK;1;user allcaps mana enak bubur ga diaduk allcaps;['user', 'allcaps', 'mana', 'enak', 'bubur', 'ga', 'diaduk', 'allcaps'];['user', 'allcaps', 'mana', 'enak', 'bubur', 'tidak', 'diaduk', 'allcaps'];['user', 'allcaps', 'enak', 'bubur', 'diaduk', 'allcaps'];user allcaps enak bubur diaduk allcaps;user allcaps enak bubur aduk allcaps
9;@adamnoto @fuckedupfoods hanya orgil yg makan bubur ga diaduk;0;user user hanya orgil yg makan bubur ga diaduk;['user', 'user', 'hanya', 'orgil', 'yg', 'makan', 'bubur', 'ga', 'diaduk'];['user', 'user', 'hanya', 'orgil', 'yang', 'makan', 'bubur', 'tidak', 'diaduk'];['user', 'user', 'orgil', 'makan', 'bubur', 'diaduk'];user user orgil makan bubur diaduk;user user orgil makan bubur aduk
