Tweets;Text_tokens;Text_tokens_fdist;Text_tokens_WSW;Text_tokens_stemmed
hmmmm;['hmmmm'];<FreqDist with 1 samples and 1 outcomes>;['hmmmm'];['hmmmm']
terharu banget makasih kak;['terharu', 'banget', 'makasih', 'kak'];<FreqDist with 4 samples and 4 outcomes>;['terharu', 'banget', 'makasih', 'kak'];['haru', 'banget', 'makasih', 'kak']
rt di sela keruwetan dan halhal yang kemrungsung belakangan ini datanglah selingan yang menghangatkan gak harus terluka dulu;['rt', 'di', 'sela', 'keruwetan', 'dan', 'halhal', 'yang', 'kemrungsung', 'belakangan', 'ini', 'datanglah', 'selingan', 'yang', 'menghangatkan', 'gak', 'harus', 'terluka', 'dulu'];<FreqDist with 17 samples and 18 outcomes>;['keruwetan', 'halhal', 'kemrungsung', 'datanglah', 'selingan', 'menghangatkan', 'terluka'];['ruwet', 'halhal', 'kemrungsung', 'datang', 'seling', 'hangat', 'luka']
penting untuk content creator punya peer review biar ada yang bantu memberi batasan sesekali mendapat kritik seb;['penting', 'untuk', 'content', 'creator', 'punya', 'peer', 'review', 'biar', 'ada', 'yang', 'bantu', 'memberi', 'batasan', 'sesekali', 'mendapat', 'kritik', 'seb'];<FreqDist with 17 samples and 17 outcomes>;['content', 'creator', 'peer', 'review', 'bantu', 'batasan', 'kritik', 'seb'];['content', 'creator', 'peer', 'review', 'bantu', 'batas', 'kritik', 'seb']
bayangin aja kalo ada konten prank dari akun berpengikut besar makin kebayang ga gimana pengaruhnya pada kepercaya;['bayangin', 'aja', 'kalo', 'ada', 'konten', 'prank', 'dari', 'akun', 'berpengikut', 'besar', 'makin', 'kebayang', 'ga', 'gimana', 'pengaruhnya', 'pada', 'kepercaya'];<FreqDist with 17 samples and 17 outcomes>;['bayangin', 'konten', 'prank', 'akun', 'berpengikut', 'kebayang', 'gimana', 'pengaruhnya', 'kepercaya'];['bayangin', 'konten', 'prank', 'akun', 'ikut', 'bayang', 'gimana', 'pengaruh', 'percaya']
banyak korban tidak melapor karena lingkungan sekitarnya nggak percaya kalau dia korban kekerasan beberapa pelaku;['banyak', 'korban', 'tidak', 'melapor', 'karena', 'lingkungan', 'sekitarnya', 'nggak', 'percaya', 'kalau', 'dia', 'korban', 'kekerasan', 'beberapa', 'pelaku'];<FreqDist with 14 samples and 15 outcomes>;['korban', 'melapor', 'lingkungan', 'nggak', 'percaya', 'korban', 'kekerasan', 'pelaku'];['korban', 'lapor', 'lingkung', 'nggak', 'percaya', 'korban', 'keras', 'laku']
hampir setiap hari saya mendapatkan kasus kdrt di poli keseluruhan korban sangat kesulitan melalui pengalaman ini;['hampir', 'setiap', 'hari', 'saya', 'mendapatkan', 'kasus', 'kdrt', 'di', 'poli', 'keseluruhan', 'korban', 'sangat', 'kesulitan', 'melalui', 'pengalaman', 'ini'];<FreqDist with 16 samples and 16 outcomes>;['kdrt', 'poli', 'korban', 'kesulitan', 'pengalaman'];['kdrt', 'pol', 'korban', 'sulit', 'alam']
ikut berduka cita atas kejadian kanjuruhan semoga ada keadilan yang ditegakkan semoga ada perbaikan sistem menyel;['ikut', 'berduka', 'cita', 'atas', 'kejadian', 'kanjuruhan', 'semoga', 'ada', 'keadilan', 'yang', 'ditegakkan', 'semoga', 'ada', 'perbaikan', 'sistem', 'menyel'];<FreqDist with 14 samples and 16 outcomes>;['berduka', 'cita', 'kejadian', 'kanjuruhan', 'semoga', 'keadilan', 'ditegakkan', 'semoga', 'perbaikan', 'sistem', 'menyel'];['duka', 'cita', 'jadi', 'kanjuruhan', 'moga', 'adil', 'tegak', 'moga', 'baik', 'sistem', 'sel']
banyak banget ditandain nya tengkyu udah baca baca si jeruk;['banyak', 'banget', 'ditandain', 'nya', 'tengkyu', 'udah', 'baca', 'baca', 'si', 'jeruk'];<FreqDist with 9 samples and 10 outcomes>;['banget', 'ditandain', 'tengkyu', 'udah', 'baca', 'baca', 'jeruk'];['banget', 'ditandain', 'tengkyu', 'udah', 'baca', 'baca', 'jeruk']
twit tadi merespon tulisan teman saya mbak annisa dan mengutip kisah dari mbak fia trigger warning;['twit', 'tadi', 'merespon', 'tulisan', 'teman', 'saya', 'mbak', 'annisa', 'dan', 'mengutip', 'kisah', 'dari', 'mbak', 'fia', 'trigger', 'warning'];<FreqDist with 15 samples and 16 outcomes>;['twit', 'merespon', 'tulisan', 'teman', 'mbak', 'annisa', 'mengutip', 'kisah', 'mbak', 'fia', 'trigger', 'warning'];['twit', 'merespon', 'tulis', 'teman', 'mbak', 'annisa', 'kutip', 'kisah', 'mbak', 'fia', 'trigger', 'warning']
